Ship Mode,Segment,Postal Code,Region,Sub-Category,Sales,Quantity,Discount,Profit per sale
0,1,60610,1,2,143.128,2,0.8,-2.8
0,1,75701,1,2,2.688,3,0.8,-2.7
0,2,76106,1,2,24.588,3,0.8,-2.8
0,2,77506,1,2,1.624,2,0.8,-2.5
1,1,79605,1,2,1.392,2,0.8,-2.9
0,1,60653,1,2,26.406,3,0.8,-2.7
1,2,76017,1,2,33.62,5,0.8,-2.8
2,2,60610,1,2,4.356,2,0.8,-2.8
0,2,60653,1,2,5.588,2,0.8,-2.7
0,2,77041,1,2,93.032,2,0.8,-2.7
0,2,78745,1,2,48.784,4,0.8,-2.8
3,3,60505,1,2,70.97,5,0.8,-2.8
2,1,75220,1,2,66.284,2,0.8,-2.8
0,1,60623,1,2,2.334,3,0.8,-2.6
0,1,60653,1,2,73.176,6,0.8,-2.8
0,1,75007,1,2,19.568,2,0.8,-2.8
0,1,76106,1,2,3.16,4,0.8,-2.9
0,1,77070,1,2,1.556,2,0.8,-2.6
1,1,60623,1,2,2.394,1,0.8,-2.6
2,1,76903,1,2,11.648,4,0.8,-2.7
0,1,77070,1,2,67.84,5,0.8,-2.7
2,3,77095,1,2,9.324,6,0.8,-2.7
0,3,77070,1,2,62.79,3,0.8,-2.7
3,1,77070,1,2,32.784,4,0.8,-2.6
2,1,60653,1,2,180.98,5,0.8,-2.7
0,1,75061,1,2,58.924,1,0.8,-2.6
0,1,77095,1,2,176.772,3,0.8,-2.7
0,2,60623,1,2,48.792,3,0.8,-2.7
0,2,75217,1,2,4.992,3,0.8,-2.7
2,1,77036,1,2,294.62,5,0.8,-2.6
0,1,60653,1,2,23.992,2,0.8,-2.6
0,2,60653,1,2,20.388,2,0.8,-2.6
0,2,77070,1,2,87.168,8,0.8,-2.7
0,1,75051,1,2,19.432,2,0.8,-2.6
0,1,78207,1,2,177.98,5,0.8,-2.6
0,1,78207,1,2,463.248,8,0.8,-2.6
0,3,77095,1,2,38.864,4,0.8,-2.6
1,1,75220,1,2,21.392,2,0.8,-2.6
2,1,77840,1,2,29.312,8,0.8,-2.6
0,1,60423,1,2,20.768,8,0.8,-2.6
0,1,77095,1,2,18.32,5,0.8,-2.6
0,1,77340,1,2,15.224,2,0.8,-2.6
2,2,77041,1,2,15.224,2,0.8,-2.6
2,2,77041,1,2,21.984,6,0.8,-2.6
0,2,75150,1,2,34.176,3,0.8,-2.6
0,3,78501,1,2,73.164,6,0.8,-2.6
2,1,77036,1,2,97.264,4,0.8,-2.5
2,1,79907,1,2,5.432,2,0.8,-2.6
0,1,75220,1,2,32.192,2,0.8,-2.5
0,1,77095,1,2,0.444,1,0.8,-2.3
0,1,78207,1,2,4.836,2,0.8,-2.5
1,2,60610,1,2,58.464,9,0.8,-2.5
0,2,60623,1,2,52.448,2,0.8,-2.5
0,2,75220,1,2,48.632,2,0.8,-2.6
2,3,77070,1,2,64.384,4,0.8,-2.6
0,1,77070,1,2,12.992,2,0.8,-2.5
0,2,60623,1,2,92.064,6,0.8,-2.5
3,1,60440,1,2,5.768,2,0.8,-2.5
0,1,77095,1,2,8.652,3,0.8,-2.4
0,1,77095,1,2,2.264,1,0.8,-2.3
0,1,60610,1,2,14.016,4,0.8,-2.3
0,2,77095,1,2,8.712,2,0.8,-2.3
